id;client_id;created_date;updated_date;deleted_date;lastname;firstname;gender;salutation;title;birthday_day;birthday_month;birthday_alt_month;anniversary_day;anniversary_month;company;email;email_alt;phone_number;phone_numberlocale;phone_numberalt;phone_numberaltlocale;address;address_2;city;postal_code;state;country;is_contact_private;is_onetime_guest;status;loyalty_id;loyalty_rank;loyalty_tier;marketing_optin;marketing_optints;marketing_opt_outts;has_billing_profile;notes;private_notes;tags;total_visits;total_covers;total_cancellations;total_no_shows;total_spend;total_spend_per_cover;totalspend_per_visit;avg_rating;reference_code;external_user_id;venue_group_id;birthday_alt_day;user_id;user_name;total_order_count;preferred_language_code
1;provided plus;stump;unto;duel youthfully wonderfully;deep er;under whether;supposing desktop after;intently wander minus;than er;16848;18048;10343;6566;14755;gosh inside belated;Minnie_Murray@gmail.com;the revile;weird;waiting;clasp alarming unless;per phew;rotten quarterly warlike;now;O'Keefestad;sane owlishly overconfidently;bravely coarse jaggedly;Saint Lucia;false;false;weepy;pace jubilantly;3854;retch around worth;true;vibraphone for excluding;yawningly ultimately via;true;that schlepp;misinterpret hence pulse;fondly um notwithstanding;26349.45;14281;9004.02;12993.04;16147.2;29303.18;30702.19;26694.95;busily remit rural;impure frightening properly;upset yuck tangible;6808;below;mellow ick for;9721;appropriate punctually
2;whenever if supposing;decision;verifiable youthfully silently;dirt yearningly;nor;correctly likewise;than that wiry;listen;prepone toot swiftly;14682;23344;32450;27731;1692;stack talent;Marc21@yahoo.com;aside;austere;necessary stimulating;stagger gee rumor;apud agony ready;when but next;since mid intensely;Titusborough;from yowza;chubby how;Andorra;false;true;frenetically;different;15080;sympathetically of hybridise;true;gild cougar;quarantine;false;humming of;classify zowie whoever;oof statistic um;11544.12;8465.93;11346.84;5822.34;25233.39;7055.16;26338.18;5580.75;lack now;harvest sans;duh behind pace;26772;pfft;mid yum skip;24277;aw
3;audition despite gadzooks;powerful near jealously;infinite blah pfft;multicolored instantly;irony certainly;mat for recount;courtroom happy;saint narrow phooey;oof remote unethically;21701;22674;13202;24384;23698;retrospective grotesque nor;Angela18@yahoo.com;yippee focused;provided inside;loot upliftingly;complete;deficient er;ox adduce supposing;fiddle but nationalize;East Allieborough;hmph psst nobody;though why;Kuwait;false;true;popularise furthermore ack;webmail;22493;toward;true;deduce once;about;true;rag whoa;resistance;diligently straight;1375.38;6118.73;27560.29;17856.66;2586.42;28440.47;10622.44;16977.71;gadzooks;safely till whereas;except greedily;16426;righteously;lark apud;31713;ick
4;after;ha;yieldingly serpentine wearily;now;conifer;indeed of;awful;eek hiccup;midst quick-witted;2934;27854;27363;29597;14289;utilized windsurf emergent;Simeon.Franecki-Robel@hotmail.com;ugh;far alongside;bah plain;under nectarine;foolishly versus alongside;pace;ravel;Brookline;goad scholarly towards;instead;Germany;false;true;within courageously whoever;working for;7467;astride;true;entertainment estimate;short-term;false;sympathetically um;heat;until side whenever;27091.42;23365.59;1890.53;3465.23;998.96;22385.62;3533.44;10304.98;facet jealously swiftly;brr macro;finally phooey;23941;addition provided ew;plus sweatshop;12486;exclude
5;continually wince;degrade exotic;jazz whoa;tedious curiously hesitate;while wetly glow;oof supposing helplessly;hungry hmph;flub gladiolus;dreamily garage;16045;15296;4424;11128;22635;huge but;Amely67@hotmail.com;down;intently;frenetically mixed whether;dissonance yearningly;so;pfft printer;courageously;Laurenceport;supposing zowie justly;despite scanner;Greenland;false;false;inside eek;jealous oof;21981;cloves;true;where gifted manicure;suspiciously barge;false;inside skivvy distinction;consequently except yet;raw excepting soften;29687.98;22471.24;7108.96;21277.79;28610.3;6548;719.12;16148.95;buoyant;unionize;of loathsome;28442;unless versus;beside;20965;until
6;boo read guacamole;cheerfully;mortgage turbulent;necessary;meh mutilate;novel hunger shocking;speedily chemical past;noisy graze crossly;hire;30975;7338;20557;11762;32471;that;Ceasar91@yahoo.com;package aw textbook;phooey phew but;yahoo;fast unless often;as stow;ick enlightened electric;um novel;Sedrickworth;able urgently;than;Saint Martin;false;false;yet even helplessly;peak apud boo;25157;brr;false;slowly;from;true;so;slowly gracefully;invest bull-fighter untidy;26933.16;5959.95;32480.69;1296.87;13716.32;23043.69;25920.62;5391.87;svelte;ack;ick likewise unlike;14250;chalk freely;fooey lifestyle highly;6738;unfolded nor consequently
7;majestically once;till elevate ugh;riding safely;pace;patter;at yahoo likewise;ugh;curb rightfully;joshingly;17146;10137;18391;2879;29284;stable finished next;Lillie_Lemke@yahoo.com;required calculating despite;playful strident woot;upon qualified sternly;er;since;finally tunic near;within however;East Shyannshire;dangerous to;greatly;Cayman Islands;false;false;till;tidy;30384;hence pinkie before;true;inwardly;lantern former;false;bah ivory;while nor increase;fabric than hm;11737.95;30995.08;20039.3;29306.65;32622.45;15188.87;8138.92;30988.27;ugh cheerful;even;huzzah potty;6752;along yowza;several enlarge;31932;accrue afterwards
8;furthermore;boo satisfaction feedback;performance outside aha;perfectly raffle acrobatic;luminous wherever bashfully;generously joyfully;sadly why knot;collard;basic;4088;4602;649;23473;18207;rainbow though deceivingly;Virginia.Renner@yahoo.com;but;triumphantly;cruelly;mitre flimsy;specialise;grim angrily;however aside;Palm Beach Gardens;till;absentmindedly;Isle of Man;false;true;past warmhearted;drat toward catalog;29086;gee adrenalin;true;brr next;onto shortwave primary;true;classic yum;inasmuch recuperate whoa;unfinished amused;3317.53;31111.87;15227.46;1847.75;16203.28;18789.37;28624.52;26151.81;aw enthusiastically gee;jubilantly;underscore;130;defiantly minus minus;switch;32741;fish brr gee
9;even hence sternly;ram gah;gum;ick beautifully;detest deeply gee;lest;eek;spot;what eek tightly;4060;8009;24163;11674;11161;soup so sandblast;Adella66@yahoo.com;adept to;rhapsodize;chilly anenst accustom;until pish perpendicular;upbeat mythology hm;when helpful;yahoo;Alexannestead;that;slippers fortunate rudely;Brazil;false;false;issue short-term;indeed equally;32460;pace gadzooks rarely;true;rapidly unbearably calmly;ack;true;simplification who poleax;although weak;yippee decision-making;12573.02;22640.75;22486.56;12593.91;3386.8;7432.67;18442.54;17274.62;onto;yippee;wherever phooey beside;17156;regarding implant off;shrilly always;11611;expose fortunately overtrain
10;inasmuch;governor queasily;modulo instead across;though;aw even;enormously obnoxiously generally;numb barring;until;delectable solid;19342;21965;18110;2926;4828;naughty waggle;Alycia84@gmail.com;so yum nosedive;who harmonious;worriedly;excluding;ha not rack;an accidentally;modulo;Samarahaven;over vice unlike;mature;Norway;false;true;confront how grimace;grotesque ouch;1668;inasmuch;true;mostly yum hallucinate;unbearably million;true;meaningfully;yet annually till;off;8299.38;13607.34;22634.52;25081.08;25512.61;28170.17;4916.8;9206.98;which;cuff;yippee shrivel;28366;until abnormally round;boldly;16284;long-term pro grandma
