id;venue_id;avg_rating;booked_by_names;last_visit_date;num_ratings;total_cancellations;total_covers;total_no_shows;total_spend;total_spend_local;total_spend_localper_cover;total_spend_local_per_visit;total_spendper_cover;total_spend_per_visit;total_visit;venue_marketing_optin;venue_marketing_optints;tech_lineage;tech_created_date;tech_updated_date;tech_mapping;tech_comment
1;thoughtfully succor;31744;fooey exemplary slowly;misinterpret why;7789;17661;7317;20044;31742.78;26110.75;371.06;12107.69;22378.01;11105.56;32020;false;softly whenever yippee;odd;2023-12-20T01:41:56;2023-12-19T16:56:54;amidst exploration;negligible
2;mmm;5793;in obvious enlist;concentrate;21995;15666;15174;19293;4281.94;31590.65;19427.45;11022.56;31771.15;26499.61;24748;false;miserably because;linear because;2023-12-19T15:42:21;2023-12-20T01:58:50;capsize whoa;so reproachfully
3;duh carry;26002;burly;lest yahoo;18807;32703;31292;26129;27047.41;4085.3;23313.59;4115.86;29295.62;5389.64;15032;true;unfortunately tomorrow lest;decamp for scarily;2023-12-20T08:54:53;2023-12-20T08:03:55;loudly;blah next afore
4;retain;10771;crate;whether;8389;1670;31807;28661;17244.42;362.14;20628.83;16878.83;18267.55;28714.31;6229;true;even;savage defender;2023-12-19T11:38:18;2023-12-19T15:41:36;menu jaggedly opossum;mysteriously
5;with wry;19783;informal by hefty;hm stiff;7570;14270;19906;11320;27148.98;3450.27;17725.96;28731.11;29691.15;5133.16;15327;true;ha;whether;2023-12-19T19:15:39;2023-12-19T16:56:00;underpants;equally
6;koala within;15370;bin mmm geez;vivacious judgementally lively;22961;15894;473;17351;2705.46;16656.13;16475.6;4401.16;1459.84;22923.76;18766;false;which likely afore;pure down;2023-12-19T11:44:50;2023-12-20T06:49:23;fetch absent disguised;unbearably
7;spew;16161;incidentally;briefly outside pierce;2208;6113;22965;21208;2521.27;21324.88;7513.46;17835.89;21819.85;15756.39;15620;true;yet likely;paste;2023-12-20T02:07:53;2023-12-19T13:30:16;switch stave silently;loyally separately yesterday
8;instead deep golden;24780;yum;lest meh;4504;29546;26437;32595;12462.45;1333.76;3425.58;23544.97;5474.43;21141.1;12717;true;phooey;peppery engagement area;2023-12-20T05:39:13;2023-12-19T11:22:57;only mechanically;agent concerning ew
9;consequently;26909;to disposal fridge;bridge save;8625;23708;15825;23456;21869.1;21569.67;21608.93;12295.18;16428.6;13751.63;9458;false;however nor;meanwhile;2023-12-20T04:37:40;2023-12-19T12:13:18;softly;jaunty publisher
10;psychoanalyse;22833;fooey pocket-watch;swindle multicolored of;12355;24254;28342;25041;32079.62;11082.21;17300.99;28520.01;23902.37;26785.39;6519;true;awkwardly;unlike;2023-12-20T00:12:15;2023-12-19T17:44:27;kookily brr when;when
