id;status;admin_fee;code;table_no;tax;business_id;local_posticket_id;employee_name;total;subtotal;start_time;service_charge;endtime;tech_lineage;tech_created_date;tech_updated_date;tech_mapping;tech_comment
1;jealous unabashedly;18273.37;137;ick;10989.64;20383;greatly pole realign;once militate;12824.04;31738.04;across;17714.47;because quality;reliable;2023-12-19T20:33:54;2023-12-20T07:29:02;er whoa ah;uh-huh diligent until
2;ew gee past;11656.28;31567;unless;30008.81;5988;that curly exotic;prosecutor loving next;30443.44;14015.65;after silently;3337.31;scrounge;before aching;2023-12-19T22:22:09;2023-12-20T03:34:45;renege pummel;uh-huh
3;whistle bide;27711.03;23411;rating boo;13200.42;5245;solemnly;straddle hideous;12968.51;18360;um;31949.83;forget;before uh-huh;2023-12-19T14:16:38;2023-12-19T12:46:59;enchanted outlaw;coevolution
4;reassuringly;5874.9;7667;huzzah;14665.79;30818;spanish forfend ornate;only coverage;28585.96;224.32;since radicalize coat;7908.56;considering before;oof blah nest;2023-12-20T06:57:28;2023-12-20T03:48:05;vigorous however acquaintance;defoliate yearningly really
5;nightlife ugh pfft;10715.98;5426;speedy;17802.87;6328;over exam;although;19453.48;22204.11;lest;30305.32;but than invasion;practical wisecrack;2023-12-19T10:16:04;2023-12-19T21:40:47;husky furthermore wet;if vibraphone
6;why chilly elderly;6337.66;9744;aboard why;25096.93;4112;mmm calm;gawp;9182.3;24075.28;as ick nitrify;11450.5;stock nobble in;gingerbread meh;2023-12-19T21:30:24;2023-12-20T08:34:41;eek however;hot
7;each macrofauna;29760.98;30933;neuter midst awkward;22976.52;18701;save down;hundred nor phooey;28136.11;10180.79;summon;16628.74;now enjoin whoever;than if daintily;2023-12-19T22:13:41;2023-12-19T13:50:52;impound aside plus;tag
8;until brr;10538.58;27432;because piercing;29577.78;26801;sedately of neglect;so ha;18405.81;2913.25;footnote;20225.85;versus gee;besides;2023-12-19T12:07:52;2023-12-19T18:11:39;where;till verifiable
9;absent;18302.26;30029;waddle;20955.18;5004;quaintly private;victoriously meh;26445.23;29389.08;panel aha;21369.33;why inside;nautical;2023-12-20T06:13:42;2023-12-19T14:33:48;hm worth hence;dragoon
10;doubt drat almost;2846.86;16778;even often;19702.26;7109;wetly decadence;feature energetically;29288.1;13995.27;hungrily;10912.85;trim;unbearably;2023-12-20T07:58:13;2023-12-19T11:36:42;quill cooking than;cooperative
